Date,TransportType,Route,DepartureTime,ArrivalTime,Passengers,DepartureStation,ArrivalStation,Delay
2023-06-01,Metro,Route_10,08:11,09:24,100,Station_17,Station_1,0
2023-06-01,Tram,Route_8,16:00,16:33,6,Station_5,Station_6,1
2023-06-01,Bus,Route_5,05:44,06:06,84,Station_13,Station_6,10
2023-06-01,Train,Route_3,12:09,14:18,26,Station_9,Station_15,10
2023-06-01,Bus,Route_4,08:57,10:44,28,Station_3,Station_1,2
2023-06-01,Train,Route_8,13:35,15:37,92,Station_15,Station_18,3
2023-06-01,Tram,Route_5,20:57,22:37,42,Station_10,Station_5,1
2023-06-01,Train,Route_2,19:04,20:55,2,Station_19,Station_19,6
2023-06-01,Tram,Route_4,22:55,23:29,23,Station_1,Station_11,2
2023-06-01,Train,Route_6,13:40,14:25,31,Station_20,Station_20,1
2023-06-01,Metro,Route_3,10:07,10:27,60,Station_18,Station_2,15
2023-06-01,Metro,Route_1,17:48,19:36,75,Station_4,Station_5,9
2023-06-01,Train,Route_10,18:33,20:07,15,Station_5,Station_9,11
2023-06-01,Metro,Route_1,05:25,06:26,51,Station_17,Station_9,7
2023-06-01,Bus,Route_5,08:06,08:44,31,Station_17,Station_17,2
2023-06-01,Bus,Route_1,16:26,18:00,56,Station_2,Station_13,4
2023-06-01,Bus,Route_9,13:43,14:01,70,Station_9,Station_11,0
2023-06-01,Train,Route_9,09:07,09:23,96,Station_3,Station_7,14
2023-06-01,Tram,Route_10,22:20,22:40,25,Station_5,Station_15,10
2023-06-01,Train,Route_2,09:41,11:13,5,Station_8,Station_12,11
2023-06-01,Train,Route_3,06:10,06:18,93,Station_7,Station_2,7
2023-06-01,Train,Route_5,20:21,22:23,78,Station_12,Station_13,10
2023-06-01,Train,Route_10,19:42,21:16,8,Station_10,Station_8,1
2023-06-01,Tram,Route_4,07:34,09:01,56,Station_17,Station_1,11
2023-06-01,Bus,Route_6,03:43,05:43,2,Station_10,Station_3,15
2023-06-01,Metro,Route_7,15:36,17:14,73,Station_6,Station_6,11
2023-06-01,Metro,Route_1,05:25,07:31,40,Station_10,Station_20,14
2023-06-01,Bus,Route_5,18:29,19:45,12,Station_1,Station_10,14
2023-06-01,Bus,Route_1,17:20,17:52,19,Station_6,Station_17,5
2023-06-01,Tram,Route_8,20:03,21:22,70,Station_12,Station_5,10
2023-06-01,Bus,Route_3,16:16,17:29,19,Station_13,Station_13,14
2023-06-01,Bus,Route_1,15:04,16:46,75,Station_2,Station_5,12
2023-06-02,Train,Route_7,14:56,15:21,19,Station_2,Station_14,2
2023-06-02,Train,Route_7,16:56,17:37,93,Station_7,Station_15,13
2023-06-02,Bus,Route_10,09:04,10:57,37,Station_8,Station_16,12
2023-06-02,Metro,Route_2,20:10,20:53,93,Station_10,Station_20,8
2023-06-02,Bus,Route_4,20:52,21:26,62,Station_14,Station_8,9
2023-06-02,Bus,Route_5,19:44,21:16,56,Station_18,Station_3,6
2023-06-02,Bus,Route_2,16:00,16:54,84,Station_11,Station_8,6
2023-06-02,Metro,Route_9,18:12,18:19,80,Station_1,Station_16,6
2023-06-02,Tram,Route_4,18:22,19:17,14,Station_10,Station_2,10
2023-06-02,Metro,Route_5,06:35,07:29,92,Station_1,Station_11,3
2023-06-02,Metro,Route_8,11:02,12:10,74,Station_6,Station_2,14
2023-06-02,Train,Route_5,06:35,08:26,74,Station_16,Station_6,4
2023-06-02,Bus,Route_9,21:53,24:01,9,Station_12,Station_13,9
2023-06-02,Metro,Route_1,18:44,19:37,63,Station_1,Station_8,11
2023-06-02,Bus,Route_3,13:43,14:01,79,Station_17,Station_10,2
2023-06-02,Tram,Route_4,06:56,08:24,90,Station_12,Station_6,9
2023-06-02,Tram,Route_3,21:53,22:31,96,Station_15,Station_12,7
2023-06-02,Bus,Route_8,08:00,09:41,89,Station_15,Station_16,0
2023-06-02,Bus,Route_10,06:21,08:19,4,Station_17,Station_3,10
2023-06-02,Train,Route_7,12:06,14:08,65,Station_5,Station_11,8
2023-06-02,Tram,Route_2,11:38,13:43,79,Station_3,Station_14,10
2023-06-02,Train,Route_6,09:30,10:11,54,Station_11,Station_17,10
2023-06-02,Tram,Route_10,10:18,10:29,88,Station_5,Station_11,9
2023-06-02,Metro,Route_8,05:58,06:06,15,Station_14,Station_13,3
2023-06-02,Train,Route_10,10:38,12:42,62,Station_8,Station_3,15
2023-06-02,Train,Route_2,18:13,18:51,56,Station_5,Station_20,2
2023-06-02,Metro,Route_2,12:46,13:25,24,Station_6,Station_14,3
2023-06-02,Tram,Route_4,13:46,15:54,3,Station_18,Station_12,15
2023-06-02,Tram,Route_4,17:55,18:37,27,Station_13,Station_20,8
2023-06-02,Tram,Route_1,06:08,06:49,78,Station_12,Station_5,11
2023-06-02,Train,Route_3,21:20,22:00,22,Station_3,Station_12,13
2023-06-02,Train,Route_4,14:47,16:47,84,Station_16,Station_13,1
2023-06-03,Bus,Route_3,03:12,04:12,3,Station_12,Station_10,26
2023-06-03,Train,Route_2,10:15,12:58,75,Station_10,Station_20,65
2023-06-03,Metro,Route_8,06:40,07:55,26,Station_10,Station_16,60
2023-06-03,Bus,Route_8,19:18,20:10,80,Station_19,Station_20,37
2023-06-03,Train,Route_2,07:23,08:36,56,Station_10,Station_8,69
2023-06-03,Tram,Route_7,09:45,11:54,10,Station_7,Station_3,27
2023-06-03,Tram,Route_2,15:51,16:53,38,Station_2,Station_10,38
2023-06-03,Bus,Route_1,22:33,24:33,33,Station_5,Station_20,34
2023-06-03,Tram,Route_5,07:12,09:23,34,Station_10,Station_20,40
2023-06-03,Bus,Route_2,06:50,07:34,78,Station_20,Station_1,40
2023-06-03,Train,Route_4,18:44,19:27,52,Station_4,Station_11,23
2023-06-03,Metro,Route_7,17:41,18:26,36,Station_4,Station_1,25
2023-06-03,Bus,Route_8,11:10,13:09,74,Station_9,Station_6,57
2023-06-03,Train,Route_7,06:18,08:17,54,Station_4,Station_10,62
2023-06-03,Bus,Route_6,05:21,07:27,21,Station_4,Station_16,65
2023-06-03,Metro,Route_9,13:46,15:12,39,Station_19,Station_12,48
2023-06-03,Train,Route_7,08:22,10:12,98,Station_13,Station_9,39
2023-06-03,Bus,Route_6,08:57,11:05,78,Station_6,Station_1,16
2023-06-03,Tram,Route_4,19:59,22:38,72,Station_9,Station_14,47
2023-06-03,Tram,Route_2,18:28,20:57,3,Station_13,Station_18,63
2023-06-03,Train,Route_6,07:40,10:04,68,Station_2,Station_11,25
2023-06-03,Bus,Route_5,15:48,18:28,41,Station_18,Station_17,55
2023-06-03,Train,Route_6,21:49,24:45,9,Station_8,Station_7,66
2023-06-03,Metro,Route_10,08:34,09:22,34,Station_15,Station_16,21
2023-06-03,Tram,Route_2,09:32,09:56,57,Station_6,Station_5,13
2023-06-03,Metro,Route_9,05:26,07:20,53,Station_14,Station_12,31
