Date,TransportType,Route,DepartureTime,ArrivalTime,Passengers,DepartureStation,ArrivalStation,Delay
2023-01-01,Metro,Route_2,19:57,21:06,79,Station_10,Station_10,8
2023-01-01,Tram,Route_10,16:49,18:34,42,Station_13,Station_16,7
2023-01-01,Train,Route_2,11:05,12:17,5,Station_7,Station_12,6
2023-01-01,Tram,Route_7,10:44,11:17,37,Station_9,Station_4,15
2023-01-01,Bus,Route_10,03:28,04:56,65,Station_1,Station_3,4
2023-01-01,Metro,Route_4,18:32,19:06,38,Station_2,Station_8,13
2023-01-01,Train,Route_3,07:54,09:17,15,Station_9,Station_11,15
2023-01-01,Tram,Route_3,17:31,18:58,4,Station_20,Station_14,13
2023-01-01,Train,Route_3,10:24,12:16,13,Station_20,Station_2,8
2023-01-01,Bus,Route_7,13:05,14:19,98,Station_2,Station_16,6
2023-01-01,Tram,Route_3,09:13,10:04,6,Station_19,Station_18,14
2023-01-01,Metro,Route_6,09:29,09:41,98,Station_7,Station_11,7
2023-01-01,Train,Route_1,09:15,10:37,25,Station_1,Station_12,14
2023-01-01,Train,Route_6,06:53,07:33,10,Station_4,Station_3,10
2023-01-01,Train,Route_1,19:49,20:58,100,Station_4,Station_13,9
2023-01-01,Bus,Route_1,11:44,13:36,68,Station_1,Station_20,12
2023-01-01,Tram,Route_4,21:33,21:57,25,Station_12,Station_16,13
2023-01-01,Train,Route_3,09:39,11:26,25,Station_19,Station_16,2
2023-01-01,Bus,Route_7,19:34,20:49,77,Station_13,Station_13,0
2023-01-01,Tram,Route_1,20:19,21:26,77,Station_13,Station_5,4
2023-01-01,Bus,Route_9,12:01,13:01,98,Station_11,Station_19,13
2023-01-01,Bus,Route_10,03:05,03:59,12,Station_9,Station_11,11
2023-01-01,Bus,Route_3,12:16,12:59,58,Station_4,Station_4,15
2023-01-01,Metro,Route_7,11:12,12:02,64,Station_2,Station_2,15
2023-01-01,Bus,Route_3,16:40,18:42,61,Station_11,Station_15,2
2023-01-01,Metro,Route_7,09:42,11:24,62,Station_13,Station_12,11
2023-01-01,Tram,Route_1,11:02,11:11,55,Station_1,Station_6,6
