Date,TransportType,Route,DepartureTime,ArrivalTime,Passengers,DepartureStation,ArrivalStation,Delay
2023-01-01,Bus,Route_8,22:10,24:10,82,Station_14,Station_16,8
2023-01-01,Tram,Route_6,08:41,10:25,55,Station_19,Station_7,3
2023-01-01,Tram,Route_1,10:59,11:14,64,Station_4,Station_16,13
2023-01-01,Bus,Route_4,20:22,21:07,4,Station_4,Station_7,7
2023-01-01,Train,Route_3,09:39,11:32,40,Station_19,Station_9,0
2023-01-01,Bus,Route_8,03:09,05:00,30,Station_15,Station_18,14
2023-01-01,Train,Route_2,05:14,05:35,23,Station_10,Station_6,3
2023-01-01,Train,Route_2,20:10,22:03,53,Station_19,Station_4,5
2023-01-01,Train,Route_5,11:52,12:36,27,Station_8,Station_14,10
2023-01-01,Tram,Route_6,22:54,24:44,100,Station_8,Station_4,11
2023-01-01,Bus,Route_7,07:00,07:49,37,Station_6,Station_3,9
2023-01-01,Tram,Route_7,16:04,16:54,12,Station_6,Station_15,6
2023-01-01,Metro,Route_5,10:44,12:30,85,Station_6,Station_20,13
2023-01-01,Metro,Route_4,19:48,21:30,95,Station_17,Station_11,5
2023-01-01,Bus,Route_3,05:12,06:28,15,Station_2,Station_3,2
2023-01-01,Metro,Route_4,18:15,18:42,9,Station_2,Station_9,11
2023-01-01,Tram,Route_5,19:41,19:52,93,Station_8,Station_14,0
2023-01-01,Tram,Route_9,05:29,07:35,76,Station_2,Station_4,6
2023-01-01,Train,Route_3,20:26,21:18,39,Station_2,Station_13,11
2023-01-01,Bus,Route_10,06:28,07:51,5,Station_8,Station_13,8
2023-01-01,Tram,Route_1,18:11,20:10,65,Station_17,Station_11,13
2023-01-01,Train,Route_9,18:36,19:11,26,Station_9,Station_1,3
2023-01-01,Train,Route_10,14:42,16:53,87,Station_13,Station_14,11
2023-01-01,Train,Route_1,13:02,15:09,78,Station_15,Station_7,12
2023-01-01,Train,Route_1,14:30,16:08,45,Station_14,Station_11,2
2023-01-01,Metro,Route_1,22:58,24:16,66,Station_9,Station_15,11
2023-01-01,Train,Route_3,08:08,08:32,61,Station_12,Station_10,14
2023-01-01,Metro,Route_7,14:54,15:49,49,Station_7,Station_18,13
2023-01-01,Metro,Route_7,20:08,21:15,71,Station_14,Station_10,5
2023-01-01,Metro,Route_7,15:21,16:31,19,Station_7,Station_5,11
2023-01-01,Tram,Route_1,12:01,13:21,49,Station_20,Station_7,0
2023-01-01,Train,Route_8,06:29,07:56,76,Station_8,Station_10,14
2023-01-02,Tram,Route_9,12:31,13:29,11,Station_10,Station_12,15
2023-01-02,Tram,Route_10,06:40,07:40,98,Station_5,Station_17,12
2023-01-02,Tram,Route_2,18:21,18:42,95,Station_10,Station_9,6
2023-01-02,Bus,Route_10,15:55,17:26,58,Station_11,Station_12,0
2023-01-02,Train,Route_5,19:44,21:14,43,Station_4,Station_13,11
2023-01-02,Metro,Route_10,06:03,07:26,4,Station_20,Station_5,6
2023-01-02,Tram,Route_4,12:20,14:33,10,Station_15,Station_5,13
2023-01-02,Bus,Route_1,19:01,19:42,30,Station_13,Station_19,10
2023-01-02,Metro,Route_9,06:22,08:33,26,Station_7,Station_12,14
2023-01-02,Metro,Route_9,13:58,14:23,52,Station_19,Station_1,8
2023-01-02,Metro,Route_9,15:25,16:03,60,Station_10,Station_1,0
2023-01-02,Metro,Route_8,15:36,17:03,89,Station_13,Station_13,1
2023-01-02,Train,Route_4,07:23,08:12,60,Station_5,Station_2,9
2023-01-02,Train,Route_9,20:19,20:48,42,Station_7,Station_10,8
2023-01-02,Metro,Route_5,05:58,07:59,48,Station_1,Station_3,4
2023-01-02,Tram,Route_7,10:25,12:02,32,Station_6,Station_16,10
2023-01-02,Tram,Route_3,06:59,08:41,47,Station_20,Station_5,8
2023-01-02,Bus,Route_9,10:59,11:53,62,Station_16,Station_5,9
2023-01-02,Tram,Route_10,11:01,12:14,75,Station_1,Station_17,0
2023-01-02,Bus,Route_6,22:20,23:56,7,Station_5,Station_20,8
2023-01-02,Metro,Route_1,20:45,22:17,24,Station_6,Station_20,15
2023-01-02,Train,Route_8,16:45,16:50,25,Station_3,Station_3,1
2023-01-02,Bus,Route_1,10:18,11:38,16,Station_4,Station_16,2
2023-01-02,Tram,Route_2,09:18,10:44,10,Station_12,Station_8,6
2023-01-02,Metro,Route_7,15:31,16:33,52,Station_14,Station_1,12
2023-01-02,Metro,Route_7,11:20,13:01,58,Station_20,Station_2,9
2023-01-02,Tram,Route_1,14:59,16:35,27,Station_11,Station_13,15
2023-01-02,Bus,Route_8,14:55,16:12,70,Station_1,Station_4,0
2023-01-02,Bus,Route_1,06:34,08:38,27,Station_6,Station_18,9
2023-01-02,Bus,Route_3,21:34,23:06,51,Station_12,Station_1,2
2023-01-02,Train,Route_3,09:39,10:23,4,Station_14,Station_4,9
2023-01-02,Train,Route_9,05:24,06:43,38,Station_17,Station_20,5
2023-01-03,Metro,Route_8,11:44,12:53,34,Station_19,Station_11,14
2023-01-03,Bus,Route_2,13:44,14:15,52,Station_18,Station_18,6
2023-01-03,Train,Route_7,17:36,18:27,76,Station_7,Station_7,6
2023-01-03,Tram,Route_5,15:06,16:33,32,Station_2,Station_13,5
2023-01-03,Train,Route_6,15:54,17:05,45,Station_15,Station_12,1
2023-01-03,Bus,Route_4,21:17,21:53,68,Station_18,Station_15,11
2023-01-03,Bus,Route_6,12:02,13:19,78,Station_16,Station_11,4
2023-01-03,Tram,Route_4,18:22,19:06,22,Station_8,Station_6,12
2023-01-03,Metro,Route_5,10:32,12:29,43,Station_16,Station_17,4
2023-01-03,Tram,Route_5,19:54,20:44,71,Station_4,Station_3,3
2023-01-03,Bus,Route_5,19:44,21:13,11,Station_17,Station_9,0
2023-01-03,Train,Route_7,16:59,19:03,17,Station_3,Station_4,11
2023-01-03,Metro,Route_9,10:45,12:39,55,Station_11,Station_2,3
2023-01-03,Tram,Route_2,17:15,18:58,56,Station_6,Station_8,4
2023-01-03,Train,Route_6,16:31,17:31,75,Station_7,Station_1,5
2023-01-03,Train,Route_3,10:22,10:54,64,Station_9,Station_16,1
2023-01-03,Bus,Route_3,11:23,12:42,61,Station_8,Station_15,1
2023-01-03,Metro,Route_10,12:11,12:41,16,Station_11,Station_16,14
2023-01-03,Metro,Route_4,12:43,13:11,28,Station_11,Station_3,11
2023-01-03,Tram,Route_6,14:42,15:54,43,Station_5,Station_6,10
2023-01-03,Bus,Route_7,17:04,18:43,88,Station_18,Station_20,2
2023-01-03,Train,Route_6,19:23,20:15,55,Station_14,Station_16,15
2023-01-03,Tram,Route_4,16:56,18:45,85,Station_17,Station_20,14
2023-01-03,Tram,Route_9,05:25,07:25,55,Station_18,Station_16,2
2023-01-03,Train,Route_1,08:41,09:10,48,Station_11,Station_3,9
2023-01-03,Train,Route_6,21:34,23:06,55,Station_10,Station_4,6
2023-01-03,Tram,Route_6,17:14,18:34,82,Station_2,Station_12,15
2023-01-03,Metro,Route_10,15:19,17:12,17,Station_18,Station_18,14
2023-01-03,Train,Route_5,19:56,21:14,85,Station_10,Station_12,12
2023-01-03,Bus,Route_3,10:44,11:09,57,Station_5,Station_13,4
2023-01-03,Bus,Route_5,14:25,16:13,83,Station_10,Station_14,14
2023-01-03,Metro,Route_8,18:17,20:10,43,Station_17,Station_18,14
2023-01-04,Metro,Route_8,12:49,14:23,76,Station_18,Station_18,5
2023-01-04,Metro,Route_7,09:34,11:00,65,Station_4,Station_3,8
2023-01-04,Bus,Route_2,16:40,18:09,2,Station_7,Station_18,7
2023-01-04,Bus,Route_10,21:54,22:22,55,Station_17,Station_6,2
